symbol,alpha_name,fold,start_time,end_time,observations,active_observations,fold_ic,fold_ic_observations,fold_sharpe,fold_return,fold_pnl_sum,fold_turnover,fold_max_drawdown
BTCUSDT,A01_ts_momentum_24,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,-0.018519699502266312,1466,-3.7651044837118564,-0.3778176289464933,-0.4631546410693864,0.08216978798550287,-0.3919837385434438
BTCUSDT,A01_ts_momentum_24,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,-0.005980069025653116,1466,-2.6531829420246984,-0.32739844146120956,-0.38122599881155017,0.08038775564681507,-0.4363877035752345
BTCUSDT,A01_ts_momentum_48,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,0.016384549917778664,1466,-0.07449629287961393,-0.04672421240031466,-0.015483210595958252,0.0632890998722009,-0.31965857211216986
BTCUSDT,A01_ts_momentum_48,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,0.00870628771574667,1466,-0.2619104463392095,-0.059443207672187914,-0.04209315139363062,0.060758507642126924,-0.2358699719779801
BTCUSDT,A01_ts_momentum_48,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.013245536904894642,1466,0.09346645619288965,-0.01507509172631194,0.020354589314353605,0.0529997256351728,-0.33496908006827675
BTCUSDT,A01_ts_momentum_48,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,-0.01364441732582034,1466,0.5279388167513575,0.07880057332093582,0.10564045053815824,0.06228770578583006,-0.2599580183206479
BTCUSDT,A01_ts_momentum_48,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,0.0014449670433325172,1466,-1.8750099204191395,-0.22790962581429797,-0.2457864091046047,0.06069337490471847,-0.25085711523224874
BTCUSDT,A01_ts_momentum_48,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,0.022971603887587604,1466,-1.8856262183741415,-0.2518266453980139,-0.27432650062713715,0.06978622833975716,-0.2923588576804057
BTCUSDT,A01_ts_momentum_72,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,0.0033757129335659788,1466,0.10657501932168777,-0.011483211287637296,0.022825645121594962,0.05074776916674099,-0.25114226099838277
BTCUSDT,A01_ts_momentum_72,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,-0.01894240555700736,1466,-0.7451894891946834,-0.1372814334652187,-0.1262943111085224,0.05734210202864144,-0.2825081514719928
BTCUSDT,A01_ts_momentum_72,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.004572276182238534,1466,0.17715476006715783,0.0028906076400301295,0.038820858541802186,0.04346645642362098,-0.3347339759853388
BTCUSDT,A01_ts_momentum_72,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,-0.009179273986417883,1466,0.750311855996217,0.13105275321301058,0.15487868753538775,0.05178299436112767,-0.36402004196252025
BTCUSDT,A01_ts_momentum_72,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,-0.026163339431642545,1466,-3.1782981920600033,-0.36225995822783785,-0.43570062060593157,0.051235863371842764,-0.4144541490100093
BTCUSDT,A01_ts_momentum_72,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,0.02064617417186855,1466,-1.4714380194876597,-0.21055439834877232,-0.2197545130301153,0.055735613106991946,-0.32224247054620814
BTCUSDT,A01_ts_momentum_120,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,-0.01683086604028196,1466,-0.7382623981317455,-0.1848267302117116,-0.16623584846206482,0.05530756446008197,-0.3051671827357191
BTCUSDT,A01_ts_momentum_120,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,0.04607653482189484,1466,1.9728620251339668,0.39942314899631715,0.36098390238768774,0.03340643772129068,-0.15258183682589044
BTCUSDT,A01_ts_momentum_120,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.001408768820919976,1466,-0.021382336174439284,-0.04442567975621292,-0.004971562135280355,0.03516835753365321,-0.3824483785585312
BTCUSDT,A01_ts_momentum_120,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,-0.000293280215337508,1466,1.165955017235513,0.2478938835123572,0.2578896958471828,0.03765329087885788,-0.29817478774965467
BTCUSDT,A01_ts_momentum_120,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,-0.019762758539023442,1466,-2.0270556557752233,-0.24844523859555057,-0.27211582258779593,0.04351785116091251,-0.3163693065307551
BTCUSDT,A01_ts_momentum_120,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,0.024154730363491726,1466,-0.7513009397921228,-0.12106340441142727,-0.1123605077567916,0.0404979478977312,-0.2707935518412131
BTCUSDT,A16_momentum_ensemble,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,0.013649563633698313,1466,-0.37726355844748555,-0.08743628463198894,-0.06748108881835505,0.05603961799801225,-0.24417433912306996
BTCUSDT,A16_momentum_ensemble,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,0.007785304867349837,1466,-0.15742316286456487,-0.03583171549288555,-0.022001100353681233,0.054939167275816665,-0.22541063122558136
BTCUSDT,A16_momentum_ensemble,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.017123189078999384,1466,0.48314315856901857,0.06208200264839547,0.08166544739780315,0.04779272845730067,-0.21858806132384545
BTCUSDT,A16_momentum_ensemble,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,-0.005814462079987112,1466,0.5299402301243418,0.06880309942691754,0.08628768168503037,0.05582556795172155,-0.25048701788501504
BTCUSDT,A16_momentum_ensemble,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,-0.02030921695827385,1466,-2.6910074129115116,-0.2358810995625279,-0.2619360974318196,0.05196261778001492,-0.2519483900575077
BTCUSDT,A16_momentum_ensemble,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,0.022659828008850837,1466,-1.8234729811127044,-0.19247018956637496,-0.20439694565776334,0.05243923112900715,-0.2700136032590579
BTCUSDT,A02_ema_distance_20,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,0.05885907204245266,1466,0.46570925459636375,0.05191927962410148,0.06527078823237338,0.05474216292483875,-0.1458990839494061
BTCUSDT,A02_ema_distance_20,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,0.02269889596735566,1466,-1.1364910654845233,-0.10487462103327139,-0.10452112089685028,0.05960175053289666,-0.19425496402645326
BTCUSDT,A02_ema_distance_20,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.01673655245543642,1466,-0.6141595294778331,-0.06780708030647598,-0.062490438331922665,0.05699607002987668,-0.2338471886700032
BTCUSDT,A02_ema_distance_20,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,-0.012724344251156969,1466,-1.9017907802756593,-0.185113837716111,-0.19670632723547302,0.06787773656603677,-0.28248709998965527
BTCUSDT,A02_ema_distance_20,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,-0.02024597651044537,1466,-5.036458047558947,-0.2835097959080449,-0.3301440633073415,0.06285511880402665,-0.2890984025695059
BTCUSDT,A02_ema_distance_20,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,0.022748471614865127,1466,-3.1295805311933935,-0.20687292405684476,-0.22781006779636465,0.059301821411102275,-0.28456832052418723
BTCUSDT,A02_ema_distance_50,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,0.0391113271260935,1466,0.46609193208925603,0.06007429788398744,0.08092199064027,0.048530061162554185,-0.19155024216276473
BTCUSDT,A02_ema_distance_50,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,0.010279302101916113,1466,-0.049857683202836685,-0.017085443721881144,-0.006109426307964752,0.050354977011111836,-0.19672098764235746
BTCUSDT,A02_ema_distance_50,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.01896379598410085,1466,0.15549259329062953,0.006738020909355713,0.022743731008085022,0.049904698122907806,-0.2497416316883162
BTCUSDT,A02_ema_distance_50,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,-0.01685771196840864,1466,-0.425450548419727,-0.07259392119028096,-0.06035121533295128,0.05775555355261078,-0.28857814832722506
BTCUSDT,A02_ema_distance_50,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,-0.020802100399018995,1466,-3.697785471594416,-0.2752716657535704,-0.31645563616986566,0.056862870219895424,-0.287352171751144
BTCUSDT,A02_ema_distance_50,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,0.025181803603651517,1466,-1.8457011104053218,-0.1709759819666853,-0.18038415354994575,0.05136019949443077,-0.27523288621512376
BTCUSDT,A02_ema_distance_100,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,0.02223663039131415,1466,0.4893509829120689,0.06846337227372867,0.09370745477568354,0.040577864525661166,-0.18979614425150193
BTCUSDT,A02_ema_distance_100,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,0.01629856310902441,1466,0.509535729947963,0.06038847345422882,0.07450776591690388,0.04415527056357254,-0.17025449116320934
BTCUSDT,A02_ema_distance_100,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.01553212449408387,1466,0.49568583939415234,0.06636044237064942,0.08771406474018957,0.04139358725414953,-0.27339332707541353
BTCUSDT,A02_ema_distance_100,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,-0.013873622483635339,1466,0.660640678429538,0.09485109535787828,0.11206509905619691,0.045528567344168554,-0.26089870626056433
BTCUSDT,A02_ema_distance_100,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,-0.01944089781213511,1466,-2.1141764890382904,-0.199132392066118,-0.21436972151827782,0.04304834032625902,-0.23228428421179048
BTCUSDT,A02_ema_distance_100,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,0.03044245143459058,1466,-0.908690985312126,-0.10888627862199873,-0.1052809928110692,0.041228172244559276,-0.24090818366402678
BTCUSDT,A03_donchian_breakout_20,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,0.06186143889071239,1466,-0.34602025324242536,-0.023577660368963693,-0.021081500002467373,0.0229051137296688,-0.07522697991035687
BTCUSDT,A03_donchian_breakout_20,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,0.08365456021657693,1466,-0.376649620884736,-0.01481301975217486,-0.013914100430035298,0.024341922364778293,-0.06624581445150668
BTCUSDT,A03_donchian_breakout_20,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.03915915678799088,1466,-0.45459297456295944,-0.01500605169616509,-0.014377239498184901,0.023934078608071646,-0.04151117208011901
BTCUSDT,A03_donchian_breakout_20,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,-0.03260434574740133,1466,-3.018112788346125,-0.09258153441931882,-0.09638649894550058,0.026692390577720507,-0.09258153441931882
BTCUSDT,A03_donchian_breakout_20,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,0.006742969860841611,1466,-5.251303793775623,-0.1124673344405821,-0.11892209303824015,0.024036472435511293,-0.1124673344405821
BTCUSDT,A03_donchian_breakout_20,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,-0.013372180509377269,1466,-4.663860020620212,-0.09571485343123154,-0.10026146282958612,0.020210232041510096,-0.10886940350152874
BTCUSDT,A08_trend_quality,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,0.02585171891695468,1466,0.766542253859002,0.04256258910645139,0.04415820065552591,0.008765746546332078,-0.060464016561791345
BTCUSDT,A08_trend_quality,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,0.04404856712743136,1466,1.6371674415659565,0.07932232189527744,0.07802097892635121,0.008308450926899764,-0.04432275182036738
BTCUSDT,A08_trend_quality,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.034394556485621876,1466,0.5759778106179654,0.02709009475291202,0.02857390287039679,0.009087767558476123,-0.07584528537569735
BTCUSDT,A08_trend_quality,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,-0.007479447457616763,1466,0.24111578369338615,0.008616453766701282,0.009812471383413558,0.009388121893656507,-0.05919954499123481
BTCUSDT,A08_trend_quality,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,0.005612480320833805,1466,-0.38008918021011845,-0.009332509483414908,-0.008961533982521966,0.006554790704915629,-0.02909910568190488
BTCUSDT,A08_trend_quality,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,0.019898042792545832,1466,0.03438321900176713,0.00036641854914365446,0.001012061367017661,0.006920354496919452,-0.05507230773583094
BTCUSDT,A09_efficiency_ratio_20,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,0.0441387162085338,1466,0.14092708596988057,0.006607414818846635,0.01465474593917783,0.03979780995285534,-0.15585288865774372
BTCUSDT,A09_efficiency_ratio_20,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,0.023676980602205487,1466,-0.5798100772208589,-0.045208485984170266,-0.04230612109614962,0.04058417455209127,-0.14180954143664348
BTCUSDT,A09_efficiency_ratio_20,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.01705181754601131,1466,-0.37481292739440414,-0.03712606929504492,-0.0322857036978402,0.03899493320798787,-0.17564531267718808
BTCUSDT,A09_efficiency_ratio_20,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,-0.01329345506023689,1466,-1.788500219184514,-0.13901483642642976,-0.14477988918818124,0.04438505604826282,-0.22442901567574025
BTCUSDT,A09_efficiency_ratio_20,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,-0.006622619101437433,1466,-3.258492585493228,-0.1498851729388494,-0.16056324069709932,0.03753385509134464,-0.15959231423330777
BTCUSDT,A09_efficiency_ratio_20,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,0.018419274809866323,1466,-2.4663757188505677,-0.1376115260656987,-0.14545288043203283,0.03739654455073398,-0.22937872827031924
BTCUSDT,A04_short_reversion_1,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,-0.046672486945802186,1466,-6.878218964323512,-0.5479504154052006,-0.7840594788351896,0.19473818033975973,-0.5492686309552108
BTCUSDT,A04_short_reversion_1,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,-0.03249334567399098,1466,-13.377843718915976,-0.5552125967071343,-0.8072078151688564,0.20527741901048982,-0.5552430489345265
BTCUSDT,A04_short_reversion_1,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.015818968567087383,1466,-6.399273987447348,-0.5463426318278203,-0.7791006423594313,0.213124072579626,-0.5465054581543798
BTCUSDT,A04_short_reversion_1,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,0.031782674913669595,1466,-6.91123780594322,-0.5203690426688328,-0.7262948648197833,0.21155665292935874,-0.5273533079520284
BTCUSDT,A04_short_reversion_1,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,-0.020624140269431372,1466,-12.876122773490918,-0.6587415201058275,-1.0695393140417369,0.21208923414917513,-0.6592184480470986
BTCUSDT,A04_short_reversion_1,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,-0.014243339815953498,1466,-10.524990118672505,-0.6303336577687069,-0.9881820708095597,0.21783491326339816,-0.6308937722255388
BTCUSDT,A04_short_reversion_2,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,-0.03778415818087216,1466,-5.897836944941544,-0.448532038945038,-0.5875772290507146,0.13554802660746626,-0.45141911463057893
BTCUSDT,A04_short_reversion_2,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,-0.04485985880847258,1466,-9.311126661451667,-0.4625564995793816,-0.6174848549399543,0.14354759601290334,-0.4643859288829325
BTCUSDT,A04_short_reversion_2,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,-0.008612653898166157,1466,-4.851386930651362,-0.45066460967603905,-0.5879746050018944,0.14872107130363527,-0.4546929021488796
BTCUSDT,A04_short_reversion_2,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,0.0032106197681569786,1466,-4.5923095113698515,-0.40902343552738696,-0.5164590760523586,0.15008334266471546,-0.4162694358739617
BTCUSDT,A04_short_reversion_2,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,0.030966926167690523,1466,-7.949810299673819,-0.4806602540777063,-0.6500398620026075,0.1554919703861559,-0.48654283174684754
BTCUSDT,A04_short_reversion_2,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,0.0032071872717537087,1466,-6.653906158383281,-0.47081939557402297,-0.6295558417458631,0.16017485989467622,-0.47746065451637043
BTCUSDT,A04_short_reversion_3,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,-0.06832494112039744,1466,-5.317788711267078,-0.4229533091854929,-0.5418795179684319,0.10913536953487306,-0.4256682207511634
BTCUSDT,A04_short_reversion_3,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,-0.06898338563367465,1466,-7.953316633986827,-0.427671077504168,-0.5542788135593392,0.1153540550432681,-0.43016962930815317
BTCUSDT,A04_short_reversion_3,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,-0.021686682318413364,1466,-3.2630328989293687,-0.3816401022870516,-0.4653948110160893,0.12498966380297448,-0.38629398213539823
BTCUSDT,A04_short_reversion_3,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,0.013080477898634944,1466,-3.0361472420157822,-0.3067836617788323,-0.3561159559301065,0.1252571643832869,-0.31189581571131986
BTCUSDT,A04_short_reversion_3,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,0.01933897532780523,1466,-6.815616617775794,-0.4401005660036367,-0.5745614415898345,0.12398261509341138,-0.44394122435294747
BTCUSDT,A04_short_reversion_3,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,-0.021875251666768854,1466,-6.452059994551771,-0.47537647337422206,-0.6375778587973306,0.1273887184512145,-0.47901690733742786
BTCUSDT,A04_short_reversion_6,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,-0.06595137966527476,1466,-3.321383458215759,-0.31940512121238307,-0.3751469676653418,0.07923200864096594,-0.3322206215422837
BTCUSDT,A04_short_reversion_6,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,-0.00750734993542597,1466,-4.133889488932534,-0.2790870917188042,-0.3226189357331063,0.08285914843486376,-0.2907092521258633
BTCUSDT,A04_short_reversion_6,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,0.007371124465726698,1466,-1.7565839807860737,-0.2331675089023636,-0.2503316755338962,0.09166722506878147,-0.31943254264055276
BTCUSDT,A04_short_reversion_6,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,0.05263134065200345,1466,-0.7903443448170777,-0.10547066825370954,-0.0996458969970544,0.0925021288612795,-0.1574077021369249
BTCUSDT,A04_short_reversion_6,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,0.017750804065360802,1466,-4.290341526694047,-0.3057883391033147,-0.35967693756620767,0.09118466572365706,-0.30938618455564504
BTCUSDT,A04_short_reversion_6,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,-0.034507784773357905,1466,-5.068255620563042,-0.4021691468223362,-0.5068401098861954,0.09000915527574617,-0.402253033860405
BTCUSDT,A05_bollinger_reversion_20,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,-0.04130274899507491,1466,-3.3992851986478816,-0.35041286598618226,-0.4198980042297403,0.08529982093031219,-0.3683264493473052
BTCUSDT,A05_bollinger_reversion_20,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,-0.013000372624591902,1466,-3.2203846308280353,-0.2545889092067928,-0.28780979136829743,0.08755534273060771,-0.27103252287847235
BTCUSDT,A05_bollinger_reversion_20,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,-0.019445647228760406,1466,-2.382931905978242,-0.3172783404073949,-0.3641310808681911,0.08988199110456682,-0.34140392332415814
BTCUSDT,A05_bollinger_reversion_20,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,0.0005884370497089601,1466,-1.4865011467953275,-0.19484321498289314,-0.2028068473319745,0.07829868373237465,-0.24111257563711996
BTCUSDT,A05_bollinger_reversion_20,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,0.021925264905000432,1466,-3.606649955139811,-0.32466584313959657,-0.3839979872822307,0.08621666920784346,-0.3472708358473058
BTCUSDT,A05_bollinger_reversion_20,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,-0.016607247431279195,1466,-4.0168962633013034,-0.3860960705718526,-0.47723736633125935,0.08280097937568058,-0.38843571721688874
BTCUSDT,A06_rsi_reversion_14,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,-0.04688215356418016,1466,-2.5368708748009845,-0.33144463346814146,-0.3853027903562656,0.07176572141958441,-0.35185856561233797
BTCUSDT,A06_rsi_reversion_14,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,-0.01368775059577369,1466,-2.236138691704901,-0.1887068006599668,-0.20293250439808863,0.0730202586086264,-0.21285808084170343
BTCUSDT,A06_rsi_reversion_14,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,-0.016325608657819877,1466,-1.513683177827802,-0.24358467161666997,-0.2574387738135185,0.07829323519812843,-0.3039048768436302
BTCUSDT,A06_rsi_reversion_14,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,0.010584613924489797,1466,-0.9700095950890513,-0.15220474254544414,-0.14776117141802492,0.06833264783269564,-0.2131172952827035
BTCUSDT,A06_rsi_reversion_14,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,0.02266872431185419,1466,-2.3327204507475527,-0.24015894889893574,-0.26497480269919066,0.0791088782689629,-0.29089694305181935
BTCUSDT,A06_rsi_reversion_14,6,2026-01-09 08:00:00+00:00,2026-09-10 20:00:00+00:00,1466,1466,-0.019175991731642444,1466,-3.204423258546828,-0.3729676544455254,-0.45173488365737624,0.07743375896934021,-0.3882416928929444
BTCUSDT,A17_mean_reversion_ensemble,1,2022-09-04 20:00:00+00:00,2023-05-07 08:00:00+00:00,1468,1468,-0.06251557603680369,1466,-4.590411061362006,-0.3678063468562598,-0.45119395009897156,0.0904339135742346,-0.37619691964085245
BTCUSDT,A17_mean_reversion_ensemble,2,2023-05-07 08:00:00+00:00,2024-01-06 20:00:00+00:00,1468,1468,-0.03483403135936698,1466,-6.01942681937562,-0.31381522735327616,-0.37366181952874333,0.09308367362439014,-0.3178677420432282
BTCUSDT,A17_mean_reversion_ensemble,3,2024-01-06 20:00:00+00:00,2024-09-07 08:00:00+00:00,1468,1468,-0.010495366765167815,1466,-3.026759117868228,-0.31605908744986544,-0.3687372812203468,0.10325595310311976,-0.3312174538275581
BTCUSDT,A17_mean_reversion_ensemble,4,2024-09-07 08:00:00+00:00,2025-05-09 20:00:00+00:00,1468,1468,0.021773505289660586,1466,-2.4354928502116358,-0.22606225298874993,-0.24848340602541552,0.0952551775226677,-0.2445730841041891
BTCUSDT,A17_mean_reversion_ensemble,5,2025-05-09 20:00:00+00:00,2026-01-09 08:00:00+00:00,1468,1468,0.020169849886006216,1466,-5.680834533582392,-0.36006021658201504,-0.4417829873315398,0.10254683661171425,-0.3625338415471324
