open_time,VXTH,BTC_TSMOM30_LS
2017-01-25 00:00:00+00:00,0.8946161274106349,0.10538387258936503
2017-01-26 00:00:00+00:00,0.8946161274106349,0.10538387258936503
2017-01-27 00:00:00+00:00,0.8946161274106349,0.10538387258936503
2017-01-30 00:00:00+00:00,0.8946161274106349,0.10538387258936503
2017-01-31 00:00:00+00:00,0.8946161274106349,0.10538387258936503
2017-02-01 00:00:00+00:00,0.8946161274106349,0.10538387258936503
2017-02-02 00:00:00+00:00,0.8946161274106349,0.10538387258936503
2017-02-03 00:00:00+00:00,0.8946161274106349,0.10538387258936503
2017-02-06 00:00:00+00:00,0.8946161274106349,0.10538387258936503
2017-02-07 00:00:00+00:00,0.8946161274106349,0.10538387258936503
2017-02-08 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-02-09 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-02-10 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-02-13 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-02-14 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-02-15 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-02-16 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-02-17 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-02-21 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-02-22 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-02-23 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-02-24 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-02-27 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-02-28 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-03-01 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-03-02 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-03-03 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-03-06 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-03-07 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-03-08 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-03-09 00:00:00+00:00,0.9091259551469467,0.09087404485305335
2017-03-10 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-13 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-14 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-15 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-16 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-17 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-20 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-21 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-22 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-23 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-24 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-27 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-28 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-29 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-30 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-03-31 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-04-03 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-04-04 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-04-05 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-04-06 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-04-07 00:00:00+00:00,0.9135850909533413,0.08641490904665886
2017-04-10 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-04-11 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-04-12 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-04-13 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-04-17 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-04-18 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-04-19 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-04-20 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-04-21 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-04-24 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-04-25 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-04-26 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-04-27 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-04-28 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-05-01 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-05-02 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-05-03 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-05-04 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-05-05 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-05-08 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-05-09 00:00:00+00:00,0.9200787730622909,0.07992122693770906
2017-05-10 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-11 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-12 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-15 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-16 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-17 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-18 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-19 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-22 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-23 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-24 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-25 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-26 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-30 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-05-31 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-06-01 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-06-02 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-06-05 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-06-06 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-06-07 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-06-08 00:00:00+00:00,0.9180382391310377,0.08196176086896245
2017-06-09 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-12 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-13 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-14 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-15 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-16 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-19 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-20 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-21 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-22 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-23 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-26 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-27 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-28 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-29 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-06-30 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-07-03 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-07-05 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-07-06 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-07-07 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-07-10 00:00:00+00:00,0.9184705148830636,0.08152948511693638
2017-07-11 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-12 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-13 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-14 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-17 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-18 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-19 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-20 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-21 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-24 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-25 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-26 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-27 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-28 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-07-31 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-08-01 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-08-02 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-08-03 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-08-04 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-08-07 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-08-08 00:00:00+00:00,0.8912480296914781,0.10875197030852195
2017-08-09 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-10 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-11 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-14 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-15 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-16 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-17 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-18 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-21 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-22 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-23 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-24 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-25 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-28 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-29 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-30 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-08-31 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-09-01 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-09-05 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-09-06 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-09-07 00:00:00+00:00,0.9286174170677169,0.0713825829322831
2017-09-08 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-11 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-12 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-13 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-14 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-15 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-18 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-19 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-20 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-21 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-22 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-25 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-26 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-27 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-28 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-09-29 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-10-02 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-10-03 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-10-04 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-10-05 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-10-06 00:00:00+00:00,0.9250996536691869,0.07490034633081309
2017-10-09 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-10 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-11 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-12 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-13 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-16 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-17 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-18 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-19 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-20 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-23 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-24 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-25 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-26 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-27 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-30 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-10-31 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-11-01 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-11-02 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-11-03 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-11-06 00:00:00+00:00,0.9426711313348157,0.057328868665184274
2017-11-07 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-08 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-09 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-10 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-13 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-14 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-15 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-16 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-17 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-20 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-21 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-22 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-24 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-27 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-28 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-29 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-11-30 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-12-01 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-12-04 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-12-05 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-12-06 00:00:00+00:00,0.9368684939299516,0.06313150607004835
2017-12-07 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-08 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-11 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-12 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-13 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-14 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-15 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-18 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-19 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-20 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-21 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-22 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-26 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-27 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-28 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2017-12-29 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2018-01-02 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2018-01-03 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2018-01-04 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2018-01-05 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2018-01-08 00:00:00+00:00,0.9529031903933514,0.04709680960664864
2018-01-09 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-10 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-11 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-12 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-16 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-17 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-18 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-19 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-22 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-23 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-24 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-25 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-26 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-29 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-30 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-01-31 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-02-01 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-02-02 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-02-05 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-02-06 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-02-07 00:00:00+00:00,0.9497721972116075,0.050227802788392416
2018-02-08 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-02-09 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-02-12 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-02-13 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-02-14 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-02-15 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-02-16 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-02-20 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-02-21 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-02-22 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-02-23 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-02-26 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-02-27 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-02-28 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-03-01 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-03-02 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-03-05 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-03-06 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-03-07 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-03-08 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-03-09 00:00:00+00:00,0.9095892884033298,0.09041071159667019
2018-03-12 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-03-13 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-03-14 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-03-15 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-03-16 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-03-19 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-03-20 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-03-21 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-03-22 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-03-23 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-03-26 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-03-27 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-03-28 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-03-29 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-04-02 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-04-03 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-04-04 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-04-05 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-04-06 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-04-09 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-04-10 00:00:00+00:00,0.8759731945516557,0.12402680544834438
2018-04-11 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-04-12 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-04-13 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-04-16 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-04-17 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-04-18 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-04-19 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-04-20 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-04-23 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-04-24 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-04-25 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-04-26 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-04-27 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-04-30 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-05-01 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-05-02 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-05-03 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-05-04 00:00:00+00:00,0.8475290141177118,0.15247098588228825
2018-05-07 00:00:00+00:00,0.8475290141177118,0.15247098588228825
