symbol,alpha_name,horizon_bars,year,observations,mean_forward_return,ic
BTCUSDT,A01_ts_momentum_48,3,2025,2190,4.417841494311725e-05,-0.025301145647751478
BTCUSDT,A01_ts_momentum_48,3,2026,1514,-0.00012452440160063333,0.045349482484480834
BTCUSDT,A01_ts_momentum_48,6,2020,2148,0.004325968240203772,0.013893440465519165
BTCUSDT,A01_ts_momentum_48,6,2021,2190,0.0022771476562700043,-0.014806559748075489
BTCUSDT,A01_ts_momentum_48,6,2022,2190,-0.0023203712562343257,-0.02042362330278013
BTCUSDT,A01_ts_momentum_48,6,2023,2190,0.00288717323800612,0.01793625397208279
BTCUSDT,A01_ts_momentum_48,6,2024,2196,0.0025029389862192184,-0.0009916760579681935
BTCUSDT,A01_ts_momentum_48,6,2025,2190,6.568478702372625e-05,-0.028554904809275906
BTCUSDT,A01_ts_momentum_48,6,2026,1511,-0.00022933494223500512,0.0761749415909367
BTCUSDT,A01_ts_momentum_72,1,2020,2124,0.0007093646567784016,0.025933903217491432
BTCUSDT,A01_ts_momentum_72,1,2021,2190,0.00038809867329112416,-0.001395141627792599
BTCUSDT,A01_ts_momentum_72,1,2022,2190,-0.0003892610753551619,0.006159490784648221
BTCUSDT,A01_ts_momentum_72,1,2023,2190,0.00046951690234148203,-0.008712474251331459
BTCUSDT,A01_ts_momentum_72,1,2024,2196,0.00042397674881828327,0.0005470658070958756
BTCUSDT,A01_ts_momentum_72,1,2025,2190,1.4375098166262898e-05,-0.02315801952608329
BTCUSDT,A01_ts_momentum_72,1,2026,1516,-4.478742495607915e-05,0.020585422352704386
BTCUSDT,A01_ts_momentum_72,3,2020,2124,0.002114190747075636,0.043229539149888356
BTCUSDT,A01_ts_momentum_72,3,2021,2190,0.0011285121386776311,-0.006093816614273885
BTCUSDT,A01_ts_momentum_72,3,2022,2190,-0.0011631806419079573,0.000957192385952088
BTCUSDT,A01_ts_momentum_72,3,2023,2190,0.0014166642013055905,-0.010326634682432452
BTCUSDT,A01_ts_momentum_72,3,2024,2196,0.0012576133607295407,-0.0020364613229558698
BTCUSDT,A01_ts_momentum_72,3,2025,2190,4.417841494311725e-05,-0.03156357849962996
BTCUSDT,A01_ts_momentum_72,3,2026,1514,-0.00012452440160063333,0.03432797712513973
BTCUSDT,A01_ts_momentum_72,6,2020,2124,0.004305435616515555,0.054467094701622434
BTCUSDT,A01_ts_momentum_72,6,2021,2190,0.0022771476562700043,-0.0028134320404713475
BTCUSDT,A01_ts_momentum_72,6,2022,2190,-0.0023203712562343257,0.00376757324954653
BTCUSDT,A01_ts_momentum_72,6,2023,2190,0.00288717323800612,-0.01684320193982609
BTCUSDT,A01_ts_momentum_72,6,2024,2196,0.0025029389862192184,-0.002496104543075863
BTCUSDT,A01_ts_momentum_72,6,2025,2190,6.568478702372625e-05,-0.04176343805149196
BTCUSDT,A01_ts_momentum_72,6,2026,1511,-0.00022933494223500512,0.05768088195747126
BTCUSDT,A01_ts_momentum_120,1,2020,2076,0.000691490043451897,0.04160279243760791
BTCUSDT,A01_ts_momentum_120,1,2021,2190,0.00038809867329112416,0.0020975305003583604
BTCUSDT,A01_ts_momentum_120,1,2022,2190,-0.0003892610753551619,-0.018861986910888542
BTCUSDT,A01_ts_momentum_120,1,2023,2190,0.00046951690234148203,0.020076065889012572
BTCUSDT,A01_ts_momentum_120,1,2024,2196,0.00042397674881828327,-0.0023757415382290514
BTCUSDT,A01_ts_momentum_120,1,2025,2190,1.4375098166262898e-05,-0.00905119584652682
BTCUSDT,A01_ts_momentum_120,1,2026,1516,-4.478742495607915e-05,0.02257317430194261
BTCUSDT,A01_ts_momentum_120,3,2020,2076,0.0020599229268892538,0.0751239118098968
BTCUSDT,A01_ts_momentum_120,3,2021,2190,0.0011285121386776311,0.010920964671538308
BTCUSDT,A01_ts_momentum_120,3,2022,2190,-0.0011631806419079573,-0.044976910548916615
BTCUSDT,A01_ts_momentum_120,3,2023,2190,0.0014166642013055905,0.02698056656196177
BTCUSDT,A01_ts_momentum_120,3,2024,2196,0.0012576133607295407,0.00011576898362806456
BTCUSDT,A01_ts_momentum_120,3,2025,2190,4.417841494311725e-05,-0.020715022629966048
BTCUSDT,A01_ts_momentum_120,3,2026,1514,-0.00012452440160063333,0.04357920902305544
BTCUSDT,A01_ts_momentum_120,6,2020,2076,0.004204439760396143,0.0879516420543853
BTCUSDT,A01_ts_momentum_120,6,2021,2190,0.0022771476562700043,0.017520130086319464
BTCUSDT,A01_ts_momentum_120,6,2022,2190,-0.0023203712562343257,-0.07289863363910147
BTCUSDT,A01_ts_momentum_120,6,2023,2190,0.00288717323800612,0.024471331575601604
BTCUSDT,A01_ts_momentum_120,6,2024,2196,0.0025029389862192184,-0.002094671460703733
BTCUSDT,A01_ts_momentum_120,6,2025,2190,6.568478702372625e-05,-0.017945392210790025
BTCUSDT,A01_ts_momentum_120,6,2026,1511,-0.00022933494223500512,0.06942642328557073
BTCUSDT,A16_momentum_ensemble,1,2020,2148,0.0007107197778608757,0.03474279675314709
BTCUSDT,A16_momentum_ensemble,1,2021,2190,0.00038809867329112416,-0.01000975321934813
BTCUSDT,A16_momentum_ensemble,1,2022,2190,-0.0003892610753551619,0.0023215582686850495
BTCUSDT,A16_momentum_ensemble,1,2023,2190,0.00046951690234148203,0.019189454622402582
BTCUSDT,A16_momentum_ensemble,1,2024,2196,0.00042397674881828327,0.01160357502648192
BTCUSDT,A16_momentum_ensemble,1,2025,2190,1.4375098166262898e-05,-0.01930286343094886
BTCUSDT,A16_momentum_ensemble,1,2026,1516,-4.478742495607915e-05,0.02343905038626376
BTCUSDT,A16_momentum_ensemble,3,2020,2148,0.002119716857738466,0.05328972459716571
BTCUSDT,A16_momentum_ensemble,3,2021,2190,0.0011285121386776311,-0.011616258078203323
BTCUSDT,A16_momentum_ensemble,3,2022,2190,-0.0011631806419079573,-0.01459733115763316
BTCUSDT,A16_momentum_ensemble,3,2023,2190,0.0014166642013055905,0.03094987818046756
BTCUSDT,A16_momentum_ensemble,3,2024,2196,0.0012576133607295407,0.020047047657286623
BTCUSDT,A16_momentum_ensemble,3,2025,2190,4.417841494311725e-05,-0.03244002062892892
BTCUSDT,A16_momentum_ensemble,3,2026,1514,-0.00012452440160063333,0.042991938816573025
BTCUSDT,A16_momentum_ensemble,6,2020,2148,0.004325968240203772,0.05302201123267381
BTCUSDT,A16_momentum_ensemble,6,2021,2190,0.0022771476562700043,-0.011433320646087977
BTCUSDT,A16_momentum_ensemble,6,2022,2190,-0.0023203712562343257,-0.028143277841918394
BTCUSDT,A16_momentum_ensemble,6,2023,2190,0.00288717323800612,0.02894133998972586
BTCUSDT,A16_momentum_ensemble,6,2024,2196,0.0025029389862192184,0.025403506046301323
BTCUSDT,A16_momentum_ensemble,6,2025,2190,6.568478702372625e-05,-0.034857728328596786
BTCUSDT,A16_momentum_ensemble,6,2026,1511,-0.00022933494223500512,0.06073276165384327
BTCUSDT,A02_ema_distance_20,1,2020,2177,0.0007392325074610371,0.036002603961884996
BTCUSDT,A02_ema_distance_20,1,2021,2190,0.00038809867329112416,-0.015904341306550555
BTCUSDT,A02_ema_distance_20,1,2022,2190,-0.0003892610753551619,0.013509542486865185
BTCUSDT,A02_ema_distance_20,1,2023,2190,0.00046951690234148203,0.045841611981772466
BTCUSDT,A02_ema_distance_20,1,2024,2196,0.00042397674881828327,0.01304065721532742
BTCUSDT,A02_ema_distance_20,1,2025,2190,1.4375098166262898e-05,-0.023789750676348257
BTCUSDT,A02_ema_distance_20,1,2026,1516,-4.478742495607915e-05,0.02455286990475506
BTCUSDT,A02_ema_distance_20,3,2020,2177,0.0022032088195429313,0.06739194249170237
BTCUSDT,A02_ema_distance_20,3,2021,2190,0.0011285121386776311,-0.019184539656631583
BTCUSDT,A02_ema_distance_20,3,2022,2190,-0.0011631806419079573,0.01071585780329332
BTCUSDT,A02_ema_distance_20,3,2023,2190,0.0014166642013055905,0.07722562663571875
BTCUSDT,A02_ema_distance_20,3,2024,2196,0.0012576133607295407,0.03102338193460718
BTCUSDT,A02_ema_distance_20,3,2025,2190,4.417841494311725e-05,-0.03808085006063548
BTCUSDT,A02_ema_distance_20,3,2026,1514,-0.00012452440160063333,0.05276105586121886
BTCUSDT,A02_ema_distance_20,6,2020,2177,0.004474150346623573,0.04820646735931567
BTCUSDT,A02_ema_distance_20,6,2021,2190,0.0022771476562700043,-0.046363817671598265
BTCUSDT,A02_ema_distance_20,6,2022,2190,-0.0023203712562343257,0.00314397486994092
BTCUSDT,A02_ema_distance_20,6,2023,2190,0.00288717323800612,0.0776549402382217
BTCUSDT,A02_ema_distance_20,6,2024,2196,0.0025029389862192184,0.031627652080206015
BTCUSDT,A02_ema_distance_20,6,2025,2190,6.568478702372625e-05,-0.039805836904423325
BTCUSDT,A02_ema_distance_20,6,2026,1511,-0.00022933494223500512,0.05884155070194814
BTCUSDT,A02_ema_distance_50,1,2020,2147,0.0007113663938213139,0.0319349210932828
BTCUSDT,A02_ema_distance_50,1,2021,2190,0.00038809867329112416,-0.005393669405905216
BTCUSDT,A02_ema_distance_50,1,2022,2190,-0.0003892610753551619,0.005179899885290862
BTCUSDT,A02_ema_distance_50,1,2023,2190,0.00046951690234148203,0.030195139206527798
BTCUSDT,A02_ema_distance_50,1,2024,2196,0.00042397674881828327,0.011482592711675737
BTCUSDT,A02_ema_distance_50,1,2025,2190,1.4375098166262898e-05,-0.02469515416272413
BTCUSDT,A02_ema_distance_50,1,2026,1516,-4.478742495607915e-05,0.026406518679900032
BTCUSDT,A02_ema_distance_50,3,2020,2147,0.002123509300411877,0.0564663310338373
BTCUSDT,A02_ema_distance_50,3,2021,2190,0.0011285121386776311,-0.0044781149380723655
BTCUSDT,A02_ema_distance_50,3,2022,2190,-0.0011631806419079573,-0.00448208743102292
BTCUSDT,A02_ema_distance_50,3,2023,2190,0.0014166642013055905,0.04925464411795262
BTCUSDT,A02_ema_distance_50,3,2024,2196,0.0012576133607295407,0.02398324715069837
BTCUSDT,A02_ema_distance_50,3,2025,2190,4.417841494311725e-05,-0.039809070950031715
BTCUSDT,A02_ema_distance_50,3,2026,1514,-0.00012452440160063333,0.05180885050724398
BTCUSDT,A02_ema_distance_50,6,2020,2147,0.004335998681330685,0.05041294490759602
BTCUSDT,A02_ema_distance_50,6,2021,2190,0.0022771476562700043,-0.01526549910680346
BTCUSDT,A02_ema_distance_50,6,2022,2190,-0.0023203712562343257,-0.016017888439118486
BTCUSDT,A02_ema_distance_50,6,2023,2190,0.00288717323800612,0.045236259306334715
BTCUSDT,A02_ema_distance_50,6,2024,2196,0.0025029389862192184,0.027348147280792576
BTCUSDT,A02_ema_distance_50,6,2025,2190,6.568478702372625e-05,-0.04594383675222593
BTCUSDT,A02_ema_distance_50,6,2026,1511,-0.00022933494223500512,0.06373907689013361
BTCUSDT,A02_ema_distance_100,1,2020,2097,0.0006756683319636993,0.02973456986370308
BTCUSDT,A02_ema_distance_100,1,2021,2190,0.00038809867329112416,-1.1380976196724101e-05
BTCUSDT,A02_ema_distance_100,1,2022,2190,-0.0003892610753551619,-2.6819289583606316e-05
BTCUSDT,A02_ema_distance_100,1,2023,2190,0.00046951690234148203,0.02217616955163818
BTCUSDT,A02_ema_distance_100,1,2024,2196,0.00042397674881828327,0.007986041089622547
BTCUSDT,A02_ema_distance_100,1,2025,2190,1.4375098166262898e-05,-0.02074432784313892
BTCUSDT,A02_ema_distance_100,1,2026,1516,-4.478742495607915e-05,0.030748671463301187
BTCUSDT,A02_ema_distance_100,3,2020,2097,0.0020042736494295804,0.053920391768849066
BTCUSDT,A02_ema_distance_100,3,2021,2190,0.0011285121386776311,0.0059069389291754575
BTCUSDT,A02_ema_distance_100,3,2022,2190,-0.0011631806419079573,-0.01575910302313197
BTCUSDT,A02_ema_distance_100,3,2023,2190,0.0014166642013055905,0.0360424690074016
BTCUSDT,A02_ema_distance_100,3,2024,2196,0.0012576133607295407,0.017259613500784737
BTCUSDT,A02_ema_distance_100,3,2025,2190,4.417841494311725e-05,-0.034611344534080275
BTCUSDT,A02_ema_distance_100,3,2026,1514,-0.00012452440160063333,0.053895559141946214
BTCUSDT,A02_ema_distance_100,6,2020,2097,0.004087613484233397,0.0581311775836973
BTCUSDT,A02_ema_distance_100,6,2021,2190,0.0022771476562700043,0.005793008975644021
BTCUSDT,A02_ema_distance_100,6,2022,2190,-0.0023203712562343257,-0.03300091551023923
BTCUSDT,A02_ema_distance_100,6,2023,2190,0.00288717323800612,0.03107931588034864
BTCUSDT,A02_ema_distance_100,6,2024,2196,0.0025029389862192184,0.021033641894164748
BTCUSDT,A02_ema_distance_100,6,2025,2190,6.568478702372625e-05,-0.03925739986309534
BTCUSDT,A02_ema_distance_100,6,2026,1511,-0.00022933494223500512,0.07033942073024288
BTCUSDT,A03_donchian_breakout_20,1,2020,2196,0.0007410436373271,0.032643497310135695
BTCUSDT,A03_donchian_breakout_20,1,2021,2190,0.00038809867329112416,-0.010802272873741275
BTCUSDT,A03_donchian_breakout_20,1,2022,2190,-0.0003892610753551619,0.04583463415171312
BTCUSDT,A03_donchian_breakout_20,1,2023,2190,0.00046951690234148203,0.07405871790036701
BTCUSDT,A03_donchian_breakout_20,1,2024,2196,0.00042397674881828327,0.01783235899541061
BTCUSDT,A03_donchian_breakout_20,1,2025,2190,1.4375098166262898e-05,-0.0002763624698546906
BTCUSDT,A03_donchian_breakout_20,1,2026,1516,-4.478742495607915e-05,-0.013946167154621133
BTCUSDT,A03_donchian_breakout_20,3,2020,2196,0.002209472917036965,0.10461064154923101
BTCUSDT,A03_donchian_breakout_20,3,2021,2190,0.0011285121386776311,0.010952615007809554
BTCUSDT,A03_donchian_breakout_20,3,2022,2190,-0.0011631806419079573,0.036263360227689466
BTCUSDT,A03_donchian_breakout_20,3,2023,2190,0.0014166642013055905,0.09201314157137937
BTCUSDT,A03_donchian_breakout_20,3,2024,2196,0.0012576133607295407,0.04737357212491966
BTCUSDT,A03_donchian_breakout_20,3,2025,2190,4.417841494311725e-05,-0.013089044844358164
BTCUSDT,A03_donchian_breakout_20,3,2026,1514,-0.00012452440160063333,-0.00027114126699291397
BTCUSDT,A03_donchian_breakout_20,6,2020,2196,0.004493140196724381,0.06521129475299481
BTCUSDT,A03_donchian_breakout_20,6,2021,2190,0.0022771476562700043,-0.009189878428122182
BTCUSDT,A03_donchian_breakout_20,6,2022,2190,-0.0023203712562343257,0.022301043863961856
BTCUSDT,A03_donchian_breakout_20,6,2023,2190,0.00288717323800612,0.06440778541491451
BTCUSDT,A03_donchian_breakout_20,6,2024,2196,0.0025029389862192184,0.019860129451040442
BTCUSDT,A03_donchian_breakout_20,6,2025,2190,6.568478702372625e-05,-0.03705221698929034
BTCUSDT,A03_donchian_breakout_20,6,2026,1511,-0.00022933494223500512,0.01208486514591114
BTCUSDT,A08_trend_quality,1,2020,2137,0.0006998775431554194,0.01749967488447071
BTCUSDT,A08_trend_quality,1,2021,2190,0.00038809867329112416,0.009310637495352323
BTCUSDT,A08_trend_quality,1,2022,2190,-0.0003892610753551619,-0.027186784523957525
BTCUSDT,A08_trend_quality,1,2023,2190,0.00046951690234148203,0.058695309304876285
BTCUSDT,A08_trend_quality,1,2024,2196,0.00042397674881828327,0.018481239588821165
BTCUSDT,A08_trend_quality,1,2025,2190,1.4375098166262898e-05,-0.0043973025583023215
BTCUSDT,A08_trend_quality,1,2026,1516,-4.478742495607915e-05,0.019319055481755117
BTCUSDT,A08_trend_quality,3,2020,2137,0.002091578978309966,0.02451017473588807
BTCUSDT,A08_trend_quality,3,2021,2190,0.0011285121386776311,0.017960815973265147
BTCUSDT,A08_trend_quality,3,2022,2190,-0.0011631806419079573,-0.05560960893523221
BTCUSDT,A08_trend_quality,3,2023,2190,0.0014166642013055905,0.1003373452812012
BTCUSDT,A08_trend_quality,3,2024,2196,0.0012576133607295407,0.02687278655401988
BTCUSDT,A08_trend_quality,3,2025,2190,4.417841494311725e-05,-0.002280465469450291
BTCUSDT,A08_trend_quality,3,2026,1514,-0.00012452440160063333,0.04453893904147506
BTCUSDT,A08_trend_quality,6,2020,2137,0.004270158884252381,0.007004351699295676
BTCUSDT,A08_trend_quality,6,2021,2190,0.0022771476562700043,0.022848965337588036
BTCUSDT,A08_trend_quality,6,2022,2190,-0.0023203712562343257,-0.07725115101865182
BTCUSDT,A08_trend_quality,6,2023,2190,0.00288717323800612,0.12740732034409272
BTCUSDT,A08_trend_quality,6,2024,2196,0.0025029389862192184,0.029265168298160085
BTCUSDT,A08_trend_quality,6,2025,2190,6.568478702372625e-05,0.001249386565996031
BTCUSDT,A08_trend_quality,6,2026,1511,-0.00022933494223500512,0.061178216099786235
BTCUSDT,A09_efficiency_ratio_20,1,2020,2176,0.0007402783239376003,0.0252527696033868
BTCUSDT,A09_efficiency_ratio_20,1,2021,2190,0.00038809867329112416,-0.02339910062885001
BTCUSDT,A09_efficiency_ratio_20,1,2022,2190,-0.0003892610753551619,0.020518372827244367
BTCUSDT,A09_efficiency_ratio_20,1,2023,2190,0.00046951690234148203,0.047066294673992724
BTCUSDT,A09_efficiency_ratio_20,1,2024,2196,0.00042397674881828327,0.008433189574262565
BTCUSDT,A09_efficiency_ratio_20,1,2025,2190,1.4375098166262898e-05,-0.013868484743906737
BTCUSDT,A09_efficiency_ratio_20,1,2026,1516,-4.478742495607915e-05,0.02057222217832252
BTCUSDT,A09_efficiency_ratio_20,3,2020,2176,0.002205043746790435,0.046487908806680196
BTCUSDT,A09_efficiency_ratio_20,3,2021,2190,0.0011285121386776311,-0.039672881362971535
BTCUSDT,A09_efficiency_ratio_20,3,2022,2190,-0.0011631806419079573,0.02733031344935743
BTCUSDT,A09_efficiency_ratio_20,3,2023,2190,0.0014166642013055905,0.07732924056869839
BTCUSDT,A09_efficiency_ratio_20,3,2024,2196,0.0012576133607295407,0.019536155197664457
BTCUSDT,A09_efficiency_ratio_20,3,2025,2190,4.417841494311725e-05,-0.023232251036380908
BTCUSDT,A09_efficiency_ratio_20,3,2026,1514,-0.00012452440160063333,0.03323361863315616
BTCUSDT,A09_efficiency_ratio_20,6,2020,2176,0.0044689766627849375,0.03576840846110078
BTCUSDT,A09_efficiency_ratio_20,6,2021,2190,0.0022771476562700043,-0.05481696207337306
BTCUSDT,A09_efficiency_ratio_20,6,2022,2190,-0.0023203712562343257,0.024266445190360128
BTCUSDT,A09_efficiency_ratio_20,6,2023,2190,0.00288717323800612,0.08190775890160704
BTCUSDT,A09_efficiency_ratio_20,6,2024,2196,0.0025029389862192184,0.023692879821250235
BTCUSDT,A09_efficiency_ratio_20,6,2025,2190,6.568478702372625e-05,-0.028065800489241646
BTCUSDT,A09_efficiency_ratio_20,6,2026,1511,-0.00022933494223500512,0.038710984196496545
BTCUSDT,A04_short_reversion_1,1,2020,2096,0.0006744685270879271,-0.0018627088025516664
BTCUSDT,A04_short_reversion_1,1,2021,2190,0.00038809867329112416,0.05897099800532582
BTCUSDT,A04_short_reversion_1,1,2022,2190,-0.0003892610753551619,-0.021998822850944153
BTCUSDT,A04_short_reversion_1,1,2023,2190,0.00046951690234148203,-0.02277243359399316
BTCUSDT,A04_short_reversion_1,1,2024,2196,0.00042397674881828327,0.027478002546244974
BTCUSDT,A04_short_reversion_1,1,2025,2190,1.4375098166262898e-05,-0.01673906296731694
BTCUSDT,A04_short_reversion_1,1,2026,1516,-4.478742495607915e-05,-0.011523529292629186
BTCUSDT,A04_short_reversion_1,3,2020,2096,0.002001204556260813,-0.023343466448305365
BTCUSDT,A04_short_reversion_1,3,2021,2190,0.0011285121386776311,-0.002419088829112764
BTCUSDT,A04_short_reversion_1,3,2022,2190,-0.0011631806419079573,-0.02698680844629169
BTCUSDT,A04_short_reversion_1,3,2023,2190,0.0014166642013055905,-0.058173329910282116
BTCUSDT,A04_short_reversion_1,3,2024,2196,0.0012576133607295407,-0.008072624792201617
BTCUSDT,A04_short_reversion_1,3,2025,2190,4.417841494311725e-05,0.008619474779359235
BTCUSDT,A04_short_reversion_1,3,2026,1514,-0.00012452440160063333,-0.021854372698790953
BTCUSDT,A04_short_reversion_1,6,2020,2096,0.004086767294905328,-0.009371358617401727
BTCUSDT,A04_short_reversion_1,6,2021,2190,0.0022771476562700043,0.0369259107939138
BTCUSDT,A04_short_reversion_1,6,2022,2190,-0.0023203712562343257,-0.009664804875671236
BTCUSDT,A04_short_reversion_1,6,2023,2190,0.00288717323800612,-0.04245983181900579
BTCUSDT,A04_short_reversion_1,6,2024,2196,0.0025029389862192184,0.012392202635087746
BTCUSDT,A04_short_reversion_1,6,2025,2190,6.568478702372625e-05,0.042913762931456705
BTCUSDT,A04_short_reversion_1,6,2026,1511,-0.00022933494223500512,-0.0331067086261664
BTCUSDT,A04_short_reversion_2,1,2020,2095,0.0006729821415924029,0.007871035420532883
BTCUSDT,A04_short_reversion_2,1,2021,2190,0.00038809867329112416,0.018330319312846063
BTCUSDT,A04_short_reversion_2,1,2022,2190,-0.0003892610753551619,-0.012566246547651056
BTCUSDT,A04_short_reversion_2,1,2023,2190,0.00046951690234148203,-0.024396861828822423
BTCUSDT,A04_short_reversion_2,1,2024,2196,0.00042397674881828327,-0.002869135895705115
BTCUSDT,A04_short_reversion_2,1,2025,2190,1.4375098166262898e-05,0.010758933880756168
BTCUSDT,A04_short_reversion_2,1,2026,1516,-4.478742495607915e-05,0.003203025796116634
BTCUSDT,A04_short_reversion_2,3,2020,2095,0.002004094975132542,-0.05768523306783977
BTCUSDT,A04_short_reversion_2,3,2021,2190,0.0011285121386776311,-0.0106996131008222
BTCUSDT,A04_short_reversion_2,3,2022,2190,-0.0011631806419079573,-0.023228794651021248
BTCUSDT,A04_short_reversion_2,3,2023,2190,0.0014166642013055905,-0.08714595606572448
BTCUSDT,A04_short_reversion_2,3,2024,2196,0.0012576133607295407,-0.030735864848746446
BTCUSDT,A04_short_reversion_2,3,2025,2190,4.417841494311725e-05,0.019284192837095
BTCUSDT,A04_short_reversion_2,3,2026,1514,-0.00012452440160063333,-0.028262757053195108
BTCUSDT,A04_short_reversion_2,6,2020,2095,0.0040872042705550156,-0.014029169791593679
BTCUSDT,A04_short_reversion_2,6,2021,2190,0.0022771476562700043,0.04220261610193445
BTCUSDT,A04_short_reversion_2,6,2022,2190,-0.0023203712562343257,-0.0013762297972822804
BTCUSDT,A04_short_reversion_2,6,2023,2190,0.00288717323800612,-0.05174721822302641
BTCUSDT,A04_short_reversion_2,6,2024,2196,0.0025029389862192184,0.010483486340990687
BTCUSDT,A04_short_reversion_2,6,2025,2190,6.568478702372625e-05,0.0552206283310064
